Date,Open,High,Low,Close,Volume
2020-06-15,113.38,114.83,112.91,113.73,527374
2020-06-16,115.25,116.73,113.14,114.05,480185
2020-06-17,115.51,118.72,115.41,117.74,543123
2020-06-18,116.87,117.46,115.07,115.65,396805
2020-06-19,116.37,118.36,115.75,118.36,1696312
2020-06-22,117.48,119.375,114.59,118.87,435831
2020-06-23,119.63,121.05,119.55,120.8,830769
2020-06-24,120.26,122.45,119,121.28,540030
2020-06-25,123,127.79,121.98,124.18,727412
2020-06-26,123.82,123.9,118.8,119.76,770462
2020-06-29,119.78,121.92,116.56,119.96,394583
2020-06-30,120.09,121.44,118.6,121,501799
2020-07-01,121.6,122.53,120,121,365425
2020-07-02,121.4,122.34,120.02,120.33,857335
2020-07-06,121.07,121.07,118.33,119.04,846304
2020-07-07,118.32,120.525,118.32,118.6,380165
2020-07-08,118.58,119.7,116.94,117.78,361009
2020-07-09,117.62,118.52,115.92,116.92,485585
2020-07-10,117.37,117.65,116.12,117.44,255415
2020-07-13,118,119.39,115.92,115.95,319794
2020-07-14,116.83,118.43,115.47,118.37,288018
2020-07-15,121.29,121.51,119.29,121.13,318531
2020-07-16,120.57,120.57,115.845,115.96,378132
2020-07-17,116.63,117.94,116,117.2,454084
2020-07-20,117.99,118.54,113.99,115.34,595333
2020-07-21,115.28,115.91,113.17,113.27,326005
2020-07-22,113.43,114.41,112.21,113.53,262183
2020-07-23,113.96,116.71,113.66,114.47,305767
2020-07-24,113.43,115.505,111.18,112.26,289767
2020-07-27,112.68,115.03,112,114.68,275244
2020-07-28,114.3,114.5896,112.93,113.16,225468
2020-07-29,115.99,120.41,111.4,112.73,652718
2020-07-30,111.31,114.455,111.285,113.5,330072
2020-07-31,113.42,113.42,110.3,111.47,330892
2020-08-03,113.06,116.8,113.06,116.41,332722
2020-08-04,115.87,116.12,113.45,114.09,305123
2020-08-05,115.34,115.34,112.69,113.07,212354
2020-08-06,113.3,113.55,111.69,112.2,179391
2020-08-07,112.8,113.27,111.64,112.79,255214
2020-08-10,112.41,112.96,110.83,110.93,153671
2020-08-11,111.01,111.93,108.93,109.15,185037
2020-08-12,109.66,110.82,108.89,110.52,243302
2020-08-13,110.71,111,108.44,109.38,204082
2020-08-14,109.45,109.91,108.71,109.47,169870
2020-08-17,109.27,111.32,108.03,110.75,206430
2020-08-18,111.15,111.3,109.095,110.93,250929
2020-08-19,110.02,110.11,107.02,107.12,307556
2020-08-20,106.52,107.325,105.01,106.62,263832
2020-08-21,106.83,107.56,105.86,107.25,290987
2020-08-24,108.15,108.15,105.4,105.92,206486
2020-08-25,105.83,107.35,103.58,105.05,339351
2020-08-26,104.68,105.45,104.29,105.04,282976
2020-08-27,105.46,106.18,104,105.67,320013
2020-08-28,105.67,106.45,104.85,106.04,195211
2020-08-31,105.83,107.55,105.06,106.96,261142
2020-09-01,106.23,107.34,104.55,105.51,274045
2020-09-02,105.13,109.48,105.13,109.12,386107
2020-09-03,108.67,108.67,103.54,104.56,277735
2020-09-04,105.49,106.37,102.84,105.37,217050
2020-09-08,103.79,104.87,102.67,102.71,288174
2020-09-09,102.9,104.45,102,103.9,243456
2020-09-10,103.79,104.6,102.31,102.44,337624
2020-09-11,102.98,103.8,101.52,102.52,242988
2020-09-14,103.76,106.06,103.76,104.84,452532
2020-09-15,105.47,107.33,105.01,105.75,243919
2020-09-16,105.86,106.98,105.2,106.08,235020
2020-09-17,104.72,106.93,104.2166,106.67,203777
2020-09-18,107.4,108.075,104.24,105.69,595813
2020-09-21,104.43,104.755,100.54,101.01,354582
2020-09-22,100.96,102.31,99.92,102.29,180049
2020-09-23,102.24,103.31,100.51,100.55,218898
2020-09-24,99.97,102.12,98.37,99.9,333401
2020-09-25,99.44,102,99.07,100.45,262675
2020-09-28,101.46,102.5,100.24,101.51,197919
2020-09-29,101.82,101.82,100.09,101.04,179575
2020-09-30,101.37,102.851,100.11,101,471055
2020-10-01,101.03,103.59,100.05,103.17,269032
2020-10-02,102.35,104.78,101.09,101.87,281585
2020-10-05,102.83,105.85,102.83,105.69,423856
2020-10-06,105.87,106.6,102.725,103.07,276943
2020-10-07,103.59,104.315,103.06,103.87,236923
2020-10-08,104.18,105.15,103.65,104.89,200877
2020-10-09,105.01,105.435,102.91,104.01,206698
2020-10-12,103.73,104.52,102.25,104.25,350193
2020-10-13,104.35,109,103.26,108.32,441299
2020-10-14,108.16,110.66,108.16,109.96,589059
2020-10-15,108.61,113.35,108.6,113.03,587072
2020-10-16,113.59,115.69,112.27,115,536118
2020-10-19,115.54,116.86,114.18,116.47,658744
2020-10-20,117.42,120.11,115.525,119.17,641605
2020-10-21,119.57,121,118.63,118.85,686546
2020-10-22,119.34,122.28,119.34,122.1,588400
2020-10-23,123.1,123.87,121.85,122.78,382972
2020-10-26,122.01,124.43,120.76,123.57,602901
2020-10-27,123.13,124.5,121.48,123.4,466863
2020-10-28,121.75,132.99,121.75,132.03,1151279
2020-10-29,133.35,133.67,128.215,130.25,934594
2020-10-30,129.33,134.73,128.23,134.23,786319
2020-11-02,133.77,135,130.84,133.98,466296
2020-11-03,133.98,137.34,131.955,136.5,380799
2020-11-04,137.43,142.34,134.1,139.47,479089
2020-11-05,140.12,140.15,136.69,137.71,548585
2020-11-06,137.71,138.45,135.38,135.88,224097
2020-11-09,136.57,138.06,133.81,136.26,546939
2020-11-10,136.67,139.79,136.07,139.28,459405
2020-11-11,140.05,140.3,137.93,140.15,356513
2020-11-12,139.72,141,139.36,139.97,470169
2020-11-13,141.18,141.7999,140.165,141.48,247298
2020-11-16,142.52,144.26,141.45,142.93,335510
2020-11-17,142.49,142.49,139.7,141.11,426875
2020-11-18,142.14,142.17,137.38,137.48,303889
2020-11-19,139.55,139.55,135.275,136.67,284446
2020-11-20,136.2,137.99,134.74,136.02,401412
2020-11-23,137.01,138.03,135.18,137.77,254466
2020-11-24,138.49,138.49,135.4,135.43,198185
2020-11-25,135.34,138,134.91,135.07,210671
2020-11-27,134.6,135.855,134.29,135.54,113254
2020-11-30,135.34,136.98,131.96,132.64,547273
2020-12-01,132.95,133.965,132.43,132.49,323342
2020-12-02,132.09,132.09,130.61,131.28,275638
2020-12-03,132.06,132.71,129.46,129.94,365175
2020-12-04,130.49,134.125,130.04,133.47,309247
2020-12-07,133.44,133.91,129.43,129.98,247264
2020-12-08,131.7,135.46,129.64,135.08,541288
2020-12-09,135.58,136.8176,132.71,134.65,289068
2020-12-10,134.89,138.31,133.32,137.21,224666
2020-12-11,137.21,139.25,131.0401,138.7,216006
2020-12-14,140,146.24,139.58,143.14,382396
2020-12-15,144.37,148.47,143.3352,148.21,402894
2020-12-16,148.87,149,145.72,146.25,425212
2020-12-17,146.46,148.8,146.25,148.44,335498
2020-12-18,149.07,150.6,145.25,146.85,907256
2020-12-21,145.96,146.88,143.35,146.13,251998
2020-12-22,146.31,147.2,144.43,146.35,383010
2020-12-23,146.47,150.33,145.46,149.36,344063
2020-12-24,150.23,151.44,149.52,149.83,116989
2020-12-28,148.85,151.44,147.99,150,250264
2020-12-29,151,151.67,147.32,149.54,265750
2020-12-30,150.28,151.67,148.58,148.68,226600
2020-12-31,149,152.82,145.79,151.79,351836
2021-01-04,151.79,154.43,150.73,153.94,329320
2021-01-05,153.94,157.2,153.67,156.77,355844
2021-01-06,156.15,164.04,156.15,163.51,637863
2021-01-07,165.07,170.26,164.17,167.05,664862
2021-01-08,167.75,168.21,163.76,165.08,442043
2021-01-11,166.08,171.17,164.3001,168.03,539653
2021-01-12,168.62,169.6,162.58,164.21,283165
2021-01-13,163.96,164.377,160.5015,162.11,308478
2021-01-14,163.31,168.31,162.37,167.26,366203
2021-01-15,165.7,173.72,165.7,172.82,719231
2021-01-19,174.23,176.31,170.52,171.61,276574
2021-01-20,174.84,176.23,170.25,171.17,345121
2021-01-21,170.99,171.185,166.95,167.14,260618
2021-01-22,166.73,168.89,164.47,167.71,203480
2021-01-25,168.53,169.445,165,169.35,153981
2021-01-26,170.09,170.09,163.4,164.85,225618
2021-01-27,163.81,163.81,153.92,155.79,561119
2021-01-28,156.61,165.15,156.61,164.39,338480
2021-01-29,165.25,167.26,162.26,163.82,221492
2021-02-01,170.08,170.58,164.36,168.22,214672
2021-02-02,169.07,171.93,168.81,169.81,263524
2021-02-03,170.48,172.355,169.52,169.92,147015
2021-02-04,170.46,171.0988,167.09,167.83,158566
2021-02-05,169.88,170.51,165.44,169.72,169936
2021-02-08,170.07,170.5,168.26,169.3,192297
2021-02-09,169.88,170.52,166.04,166.28,201372
2021-02-10,167,171.77,166.56,168.55,279269
2021-02-11,167.39,171.28,166.83,169.53,254666
2021-02-12,169,169.71,166.55,167.64,159590
2021-02-16,171.67,171.74,167.75,169.69,242504
2021-02-17,169.72,177.93,169.375,172.75,434731
2021-02-18,171.9,171.9,168.23,169.33,231863
2021-02-19,169.74,175.95,169.74,174.85,320647
2021-02-22,175.09,178.68,173.66,174.31,460954
2021-02-23,173.57,174.12,167.965,172.38,263366
2021-02-24,169.08,181.14,169.08,173.7,467059
2021-02-25,174.38,174.38,165.24,168.8,401533
2021-02-26,169.79,170.2607,165.99,167.18,339934
2021-03-01,167.2,173.03,166.78,171.27,304977
2021-03-02,170.73,173.12,166.25,166.59,184077
2021-03-03,164.8,168.985,160.87,163.21,280648
2021-03-04,163.91,166.65,159.54,160.34,558201
2021-03-05,161.47,164.7711,159.02,164.34,502197
2021-03-08,166.44,166.44,159,160.09,332473
2021-03-09,161.39,164.33,158.55,159.01,505240
2021-03-10,160,161.34,157.88,159.68,287829
2021-03-11,162.08,162.16,158.47,158.82,282276
2021-03-12,159.07,159.76,155.71,159.5,319576
2021-03-15,159.45,164.31,155.8601,164.1,275625
2021-03-16,164.1,167.12,162.32,166.57,338340
2021-03-17,165.14,171.4,163.51,171.17,486388
2021-03-18,169.27,173.43,167.465,170.35,501088
2021-03-19,170.26,172.8675,168.87,170.11,746240
2021-03-22,169.13,169.595,166.61,168.36,220392
2021-03-23,168.25,169.42,163.24,164.93,279393
2021-03-24,165.75,166.6855,162.98,164.18,187368
2021-03-25,164.82,168.82,161.48,168.35,370810
2021-03-26,168.35,171.44,166.76,171.21,243959
2021-03-29,169.77,173.3608,167.895,169.49,307886
2021-03-30,170.39,171.36,164.19,165.47,357438
2021-03-31,167.4,170.045,165.75,167.27,655837
2021-04-01,184.96,200,182.2,192.34,1699459
2021-04-05,192.45,195.13,191.03,192.75,440134
2021-04-06,192.11,197.3,191.0101,191.65,579204
2021-04-07,191.67,193.75,188.34,191.1,1019777
2021-04-08,194.99,200.93,192.16,200.73,991574
2021-04-09,199.85,204.775,198.785,203.36,586056
2021-04-12,203.35,203.48,197.98,198.59,324221
2021-04-13,199.71,203.08,197.08,199.3,413643
2021-04-14,199.42,204.35,198.44,202.78,368609
2021-04-15,203.05,203.89,201.02,201.67,255487
2021-04-16,203.34,205.52,200.94,203.73,403195
2021-04-19,204.95,205.18,201.02,203.84,303623
2021-04-20,204.46,208.63,204.46,207.58,229339
2021-04-21,208.63,212.15,207.74,211.93,346621
2021-04-22,210.31,212.62,206.4824,209.33,194047
2021-04-23,210.66,210.66,205.21,207.5,232111
2021-04-26,209.05,209.22,205.05,208.11,171611
2021-04-27,208.96,208.96,204.211,204.33,263116
2021-04-28,204.88,207.42,202.045,205.62,193887
2021-04-29,205.25,205.25,201.42,204.24,196303
2021-04-30,202.91,204.26,200.57,201.56,273186
2021-05-03,203.07,205.8649,200.47,201.79,326317
2021-05-04,201.89,202.84,194.03,195.37,349159
2021-05-05,195.37,201.65,188.92,198.14,425948
2021-05-06,197.79,197.79,189.41,192.07,307848
2021-05-07,191.64,196.72,191.06,195.42,170597
2021-05-10,193.52,194.861,189.8,189.88,304524
2021-05-11,186.24,194.89,185.01,194.3,295407
2021-05-12,192.29,198.25,192,195.49,370181
